,username,protected,verified,location,followers_count,following_count,tweet_count,listed_count
5720,5720,False,False,CDMX,0,23,0,0
5721,5721,False,False,,0,8,0,0
5722,5722,True,False,,0,70,0,0
5723,5723,True,False,,0,47,0,0
5724,5724,False,False,"Chiapas, México",22,40,23,0
5725,5725,False,False,,0,26,0,0
5726,5726,False,False,,0,3,0,0
5727,5727,False,False,,0,33,0,0
5728,5728,False,False,,13,130,63,0
5729,5729,False,False,,0,55,0,0
5730,5730,False,False,,0,143,3,1
5731,5731,False,False,,0,31,0,0
5732,5732,False,False,,0,36,0,0
5733,5733,False,False,"Distrito Federal, México",339,797,1686,3
5734,5734,False,False,,0,34,0,0
5735,5735,False,False,,8,160,70,0
5736,5736,False,False,,2,165,3,0
5737,5737,False,False,,0,10,0,0
5738,5738,True,False,,0,27,1,0
5739,5739,True,False,,0,51,0,0
5740,5740,False,False,México,4,33,4,0
5741,5741,False,False,,7,567,2,0
5742,5742,False,False,"North Vancouver, BC, Canada",11,227,212,0
5743,5743,False,False,,1,49,0,0
5744,5744,False,False,CDMX ,2,25,34,0
5745,5745,False,False,,1,35,0,0
5746,5746,False,False,,7,232,66,0
5747,5747,True,False,,1,35,0,0
5748,5748,False,False,,0,14,0,0
5749,5749,True,False,,0,385,0,0
5750,5750,False,False,,2,109,21,0
5751,5751,False,False,United States,13,760,40,0
5752,5752,False,False,,0,26,3,0
5753,5753,False,False,,0,14,0,0
5754,5754,True,False,,0,26,0,0
5755,5755,False,False,,19,430,112,0
5756,5756,False,False,,0,40,0,0
5757,5757,False,False,,0,27,0,0
5758,5758,True,False,,1,217,2,0
5759,5759,True,False,,0,3,30,0
5760,5760,True,False,,0,14,0,0
5761,5761,False,False,,3,134,0,0
5762,5762,True,False,,0,54,1,0
5763,5763,False,False,,0,76,0,0
5764,5764,True,False,,0,264,0,0
5765,5765,False,False,,17,434,16,0
5766,5766,False,False,"Chilpancingo de los Bravo, Gue",161,749,2008,0
5767,5767,False,False,,0,15,0,0
5768,5768,True,False,,0,54,0,0
5769,5769,False,False,,106,753,94,0
5770,5770,False,False,,0,145,0,0
5771,5771,False,False,,0,29,8,0
5772,5772,False,False,Cuajinicuilapa,2,105,9,0
5773,5773,False,False,,0,8,0,0
5774,5774,False,False,,0,10,0,0
5775,5775,False,False,,0,59,3,0
5776,5776,False,False,,2,139,37,0
5777,5777,True,False,"Villahermosa, Tabasco ",4,11,3,0
5778,5778,True,False,,0,116,28,0
5779,5779,True,False,,0,97,0,0
5780,5780,True,False,,2,65,0,0
5781,5781,False,False,,0,22,0,0
5782,5782,False,False,,30,169,561,0
5783,5783,False,False,,1,10,0,0
5784,5784,False,False,,12,244,27,0
5785,5785,False,False,"Distrito Federal, México",1,58,1,0
5786,5786,False,False,Far Away,1356,747,8967,13
5787,5787,True,False,,0,10,2,0
5788,5788,False,False,,0,58,0,0
5789,5789,True,False,CDMX ,0,124,8,0
5790,5790,False,False,,1,16,1,0
5791,5791,False,False,,0,6,0,0
5792,5792,True,False,,4,42,0,0
5793,5793,False,False,,0,4,1,0
5794,5794,False,False,,0,60,3,0
5795,5795,False,False,,1,61,3,0
5796,5796,False,False,,0,17,0,0
5797,5797,False,False,SLP,3,56,0,0
5798,5798,False,False,,1,45,0,0
5799,5799,False,False,,0,18,0,0
5800,5800,False,False,,0,14,0,0
5801,5801,False,False,,0,29,0,0
5802,5802,True,False,,0,6,0,0
5803,5803,False,False,,1,31,2,0
5804,5804,False,False,,1,9,0,0
5805,5805,False,False,,0,40,1,0
5806,5806,True,False,,0,22,1,0
5807,5807,True,False,,0,63,4,0
5808,5808,False,False,,1,47,4,0
5809,5809,False,False,,0,21,0,0
5810,5810,False,False,,0,11,0,0
5811,5811,False,False,,5,109,0,0
5812,5812,False,False,,1,70,0,0
5813,5813,True,False,,0,34,0,0
5814,5814,False,False,,0,19,0,0
5815,5815,True,False,,0,14,0,0
5816,5816,False,False,"Coahuila de Zaragoza, México",0,22,20,0
5817,5817,False,False,QUERETARO,9,88,13,0
5818,5818,False,False,,0,72,0,0
5819,5819,True,False,,0,62,0,0
5820,5820,False,False,,129,764,387,0
5821,5821,False,False,,0,46,0,0
5822,5822,False,False,,0,25,25,0
5823,5823,True,False,,0,62,0,0
5824,5824,False,False,,0,30,5,0
5825,5825,False,False,,0,39,0,0
5826,5826,True,False,,1,38,0,0
5827,5827,False,False,,1,34,4,0
5828,5828,False,False,,0,16,0,0
5829,5829,False,False,,6,196,23,0
5830,5830,False,False,,4,37,0,0
5831,5831,False,False,mexico,22,208,126,0
5832,5832,False,False,,1,5,0,0
5833,5833,False,False,,0,29,0,0
5834,5834,True,False,,0,19,0,0
5835,5835,False,False,,3,31,7,0
5836,5836,True,False,,1,197,9,0
5837,5837,False,False,,0,69,7,0
5838,5838,False,False,,0,25,0,0
5839,5839,True,False,,0,13,2,0
5840,5840,False,False,,1,103,0,0
5841,5841,False,False,,0,64,1,0
5842,5842,False,False,,7,83,6,0
5843,5843,False,False,,0,11,0,0
5844,5844,False,False,México,59,1384,9,0
5845,5845,True,False,"Puebla, México",0,155,3,0
5846,5846,False,False,,0,31,0,0
5847,5847,False,False,,0,5,0,0
5848,5848,False,False,,8,63,124,0
5849,5849,False,False,,11,21,96,0
5850,5850,True,False,,0,17,0,0
5851,5851,False,False,,0,8,1,0
5852,5852,False,False,,0,36,0,0
5853,5853,False,False,,2,17,0,0
5854,5854,False,False,,0,3,3,0
5855,5855,False,False,,4087,1257,271,0
5856,5856,True,False,,0,26,0,0
5857,5857,True,False,,0,40,0,0
5858,5858,False,False,,0,3,0,0
5859,5859,True,False,,0,16,0,0
5860,5860,False,False,,0,48,0,0
5861,5861,True,False,,0,24,0,0
5862,5862,True,False,,0,122,0,0
5863,5863,False,False,,0,47,0,0
5864,5864,False,False,,0,13,0,0
5865,5865,False,False,,0,16,0,0
5866,5866,False,False,,1,44,3,0
5867,5867,False,False,,0,106,0,0
5868,5868,False,False,,0,71,0,0
5869,5869,False,False,,2,58,4,6
5870,5870,False,False,,0,13,1,0
5871,5871,False,False,Chile,380,3288,2765,3
5872,5872,False,False,,0,5,0,0
5873,5873,True,False,,0,70,2,0
5874,5874,False,False,,0,21,3,0
5875,5875,False,False,,0,31,0,0
5876,5876,False,False,,0,34,0,0
5877,5877,False,False,,0,25,0,0
5878,5878,False,False,,0,4,0,0
5879,5879,False,False,,0,28,0,0
5880,5880,False,False,,1,21,0,0
5881,5881,False,False,,2,103,0,0
5882,5882,False,False,,0,1,0,0
5883,5883,False,False,"Toluca, México",65,740,2399,0
5884,5884,False,False,,7,363,0,0
5885,5885,False,False,,0,77,32,0
5886,5886,True,False,,0,283,0,0
5887,5887,False,False,,3,12,0,0
